,ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.flags,tcp.analysis.ack_rtt,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
103,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,9.0,24.0,0.0,1.0,0.0,63.399363,0.000977,0.003941,0.000977,benign
104,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,9.0,16.0,0.0009390000000000001,0.0,0.0,63.400302,0.0009390000000000001,0.00488,0.0009390000000000001,benign
105,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,9.0,24.0,0.0,0.0,0.0,63.412015000000004,0.011713,0.016593,0.011713,benign
106,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,9.0,16.0,0.0029289999999999997,0.0,0.0,63.41494399999999,0.0029289999999999997,0.019522,0.0029289999999999997,benign
107,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,9.0,17.0,0.0,0.0,0.0,63.415921,0.000977,0.020499,0.000977,benign
108,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,9.0,17.0,0.00195,0.0,0.0,63.417871,0.00195,0.022449,0.00195,benign
109,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,9.0,16.0,0.007807,0.0,0.0,63.425678000000005,0.007807,0.030256,0.007807,benign
110,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.316586,2.890908,0.0,0.0,benign
111,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,68.42092099999999,2.104335,0.0,0.0,benign
112,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,10.0,18.0,0.000976,0.0,0.0,68.421897,0.000976,0.000976,0.000976,benign
113,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,10.0,16.0,0.001983,0.0,0.0,68.42388000000001,0.001983,0.002959,0.001983,benign
114,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,10.0,24.0,0.0,1.0,0.0,68.42388000000001,0.0,0.002959,0.0,benign
115,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,10.0,16.0,0.001954,0.0,0.0,68.425834,0.001954,0.004913,0.001954,benign
116,167772674,167772687,1119.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,1067.0,10.0,24.0,0.0,0.0,0.0,68.43360899999999,0.007775,0.012688,0.007775,benign
117,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,10.0,16.0,0.0019510000000000003,0.0,0.0,68.43556,0.0019510000000000003,0.014639,0.0019510000000000003,benign
118,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1068.0,73.0,0.0,10.0,17.0,0.0,0.0,0.0,68.43556,0.0,0.014639,0.0,benign
119,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,74.0,1068.0,0.0,10.0,17.0,0.001953,0.0,0.0,68.437513,0.001953,0.016592,0.001953,benign
120,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64128.0,1069.0,74.0,0.0,10.0,16.0,0.000975,0.0,0.0,68.438488,0.000975,0.017567,0.000975,benign
121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.041439,2.602951,0.0,0.0,benign
122,167772687,167772674,60.0,1.0,0.0,0.0,0.0,64.0,6.0,64240.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,73.439805,2.3983659999999998,0.0,0.0,benign
123,167772674,167772687,60.0,1.0,0.0,0.0,0.0,64.0,6.0,5792.0,1.0,0.0,0.0,11.0,18.0,0.0009429999999999999,0.0,0.0,73.440748,0.0009429999999999999,0.0009429999999999999,0.0009429999999999999,benign
124,167772687,167772674,52.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,0.0,11.0,16.0,0.001952,0.0,0.0,73.4427,0.001952,0.002895,0.001952,benign
125,167772687,167772674,124.0,1.0,0.0,0.0,0.0,64.0,6.0,64256.0,1.0,1.0,72.0,11.0,24.0,0.0,1.0,0.0,73.4427,0.0,0.002895,0.0,benign
126,167772674,167772687,52.0,1.0,0.0,0.0,0.0,64.0,6.0,5824.0,73.0,1.0,0.0,11.0,16.0,0.0019920000000000003,0.0,0.0,73.444692,0.0019920000000000003,0.004887,0.0019920000000000003,benign
